store_number,store_address,customer_name,customer_join_date,customer_loyalty_number,transaction_id,product_name,product_price,quantity,transaction_time,transaction_bag_type
43,123 Fake St,John,5/3/2017,341,1,apple,0.50,10,1:45,paper
43,123 Fake St,John,5/3/2017,341,1,beef,5.99,3,1:45,paper
43,123 Fake St,John,5/3/2017,341,1,rice pudding,2.99,3,1:45,paper
43,123 Fake St,John,5/3/2017,341,1,milk,4.99,1,1:45,paper
22,55 Abbey Ln,Stephanie,2/2/1998,210,2,eggs,4,2,1:11,plastic
22,55 Abbey Ln,Stephanie,2/2/1998,210,2,apple,0.50,6,1:11,plastic
43,123 Fake St,Aria,6/6/2018,44,3,milk,4.99,3,3:44,paper
43,123 Fake St,Aria,6/6/2018,44,3,orange,0.99,3,3:44,paper
43,123 Fake St,Aria,6/6/2018,44,3,beef,5.99,1,3:44,paper
43,123 Fake St,Aria,6/6/2018,44,3,eggs,4,3,3:44,paper
